"","Oligodendrocytes","OPC","Astrocytes","Microglia","Endothelial","Excitatory","Inhibitory"
"SRP54",-0.145103336095426,0,-0.022962481155604,-0.264539694283458,0,0.272279724846497,0
"SRSF1",-0.24954648780291,0.00463190112221001,-0.131681561960437,-0.207033708895048,0,0.344048629049673,0.247143474191338
"SRSF10",-0.442716431245012,0,-0.202519919318977,-0.345933919865693,0,0.73494172067447,0.174555575610664
"SRSF2",0,0,0,-0.0664866065376815,0,0.255627770445185,0
"SRSF7",-0.369691079422653,-0.0893861053078058,-0.240486203305813,-0.0920065150021576,0,0.581981724498987,0.237032740347923
"SRSF9",-0.164757321416115,0,-0.0386111624913825,0,0,0.244275439863454,0.105209449995065
"TARDBP",-0.231158533979539,-0.131321808482867,-0.153127260367589,-0.252865158751815,0,0.460722970676159,0.124051996368752
"TIA1",-0.20845029962821,0.0354126413415099,-0.114929254774342,-0.34451347425748,-0.28172208398711,0.397771662317139,0
"TUT1",-0.0535403846002638,0,0.00980691893184837,-0.0462685410473622,0,0.0846201469361019,0.021499668562792
"U2AF2",-0.0730084900217092,0,-0.0339991697056634,-0.0256943050880667,0,0.125500131269884,0.046590797020077
"YBX1",-0.142024905908318,0.0103939461422093,-0.131082604881901,-0.0541900815752834,0,0.185971476635445,0.198307597501785
"YBX2",-0.00733984517517294,-0.00353710919116978,-0.000536784624520115,-0.00324548747911146,0,0.017306142406045,-0.0036454028433055
"ZC3H10",-0.00245022989472354,0,0.00440916886391052,-0.0239436664279471,0,0.0106127314874209,0.00190301776161084
"ZC3H14",-0.607154104997494,-0.277021909976113,-0.342780385952357,-0.519347224084899,-0.322181803863316,1.07097604703162,0.146779337595577
"ZCRB1",-0.130038441747462,0,-0.0318986690005025,0,0,0.235965843866221,0
"ZNF638",-0.0953833572085978,-0.445243569493673,-0.731668155942422,-1.24007634178523,-0.915801616930447,0.828497014026135,-0.0184566118485967
